AssociationCount	SEMMEDDBSubject	SEMMEDBSubjectName	SEMMEDDBPredicate	SEMMEDDBObject	SEMMEDDBObjectName	BiolinkSubject	BiolinkPredicate	BiolinkObject	ComponentMissing	ValidEdge?
20	nsba	unmappped	NEG_CAUSES	comd	Cell or Molecular Dysfunction			biolink:Disease	NEG_CAUSES	False
20	nusq	Nucleotide Sequence	NEG_CAUSES	dsyn	Disease or Syndrome	biolink:NucleicAcidEntity		biolink:Disease	NEG_CAUSES	False
20	cgab	Congenital Abnormality	NEG_COEXISTS_WITH	mobd	Mental or Behavioral Dysfunction	biolink:Disease		biolink:Disease	NEG_COEXISTS_WITH	False
20	comd	Cell or Molecular Dysfunction	NEG_COEXISTS_WITH	acab	Acquired Abnormality	biolink:Disease		biolink:Disease	NEG_COEXISTS_WITH	False
20	hops	Hazardous or Poisonous Substance	NEG_COEXISTS_WITH	lipd	unmappped	biolink:SmallMolecule			NEG_COEXISTS_WITH	False
20	mobd	Mental or Behavioral Dysfunction	NEG_COEXISTS_WITH	acab	Acquired Abnormality	biolink:Disease		biolink:Disease	NEG_COEXISTS_WITH	False
20	strd	unmappped	NEG_COEXISTS_WITH	phsu	Pharmacologic Substance			biolink:Drug	NEG_COEXISTS_WITH	False
20	antb	Antibiotic	NEG_DISRUPTS	bpoc	Body Part, Organ, or Organ Component	biolink:Drug		biolink:GrossAnatomicalStructure	NEG_DISRUPTS	False
20	antb	Antibiotic	NEG_DISRUPTS	moft	Molecular Function	biolink:Drug		biolink:MolecularActivity	NEG_DISRUPTS	False
20	carb	unmappped	NEG_DISRUPTS	acab	Acquired Abnormality			biolink:Disease	NEG_DISRUPTS	False
20	carb	unmappped	NEG_DISRUPTS	comd	Cell or Molecular Dysfunction			biolink:Disease	NEG_DISRUPTS	False
20	carb	unmappped	NEG_DISRUPTS	moft	Molecular Function			biolink:MolecularActivity	NEG_DISRUPTS	False
20	imft	Immunologic Factor	NEG_DISRUPTS	patf	Pathologic Function	biolink:BiologicalEntity		biolink:PathologicalProcess	NEG_DISRUPTS	False
20	opco	unmappped	NEG_DISRUPTS	celf	Cell Function			biolink:PhysiologicalProcess	NEG_DISRUPTS	False
20	opco	unmappped	NEG_DISRUPTS	cell	Cell			biolink:Cell	NEG_DISRUPTS	False
20	phsu	Pharmacologic Substance	NEG_DISRUPTS	menp	Mental Process	biolink:Drug		biolink:Behavior	NEG_DISRUPTS	False
20	gngm	Gene or Genome	NEG_INHIBITS	imft	Immunologic Factor	biolink:GenomicEntity		biolink:BiologicalEntity	NEG_INHIBITS	False
20	nsba	unmappped	NEG_INHIBITS	horm	Hormone			biolink:SmallMolecule	NEG_INHIBITS	False
20	orch	Organic Chemical	NEG_INHIBITS	opco	unmappped	biolink:SmallMolecule			NEG_INHIBITS	False
20	phsu	Pharmacologic Substance	NEG_INHIBITS	eico	unmappped	biolink:Drug			NEG_INHIBITS	False
20	phsu	Pharmacologic Substance	NEG_INHIBITS	imft	Immunologic Factor	biolink:Drug		biolink:BiologicalEntity	NEG_INHIBITS	False
20	anim	Animal	NEG_INTERACTS_WITH	bact	Bacterium				NEG_INTERACTS_WITH	False
20	antb	Antibiotic	NEG_INTERACTS_WITH	elii	Element, Ion, or Isotope	biolink:Drug		biolink:SmallMolecule	NEG_INTERACTS_WITH	False
20	bodm	Biomedical or Dental Material	NEG_INTERACTS_WITH	lipd	unmappped	biolink:Device			NEG_INTERACTS_WITH	False
20	carb	unmappped	NEG_INTERACTS_WITH	nsba	unmappped				NEG_INTERACTS_WITH	False
20	chem	Chemical	NEG_INTERACTS_WITH	lipd	unmappped	biolink:ChemicalEntity			NEG_INTERACTS_WITH	False
20	elii	Element, Ion, or Isotope	NEG_INTERACTS_WITH	lipd	unmappped	biolink:SmallMolecule			NEG_INTERACTS_WITH	False
20	enzy	Enzyme	NEG_INTERACTS_WITH	irda	Indicator, Reagent, or Diagnostic Aid	biolink:Protein			NEG_INTERACTS_WITH	False
20	bacs	Biologically Active Substance	NEG_ISA	nsba	unmappped	biolink:SmallMolecule			NEG_ISA	False
20	bacs	Biologically Active Substance	NEG_ISA	strd	unmappped	biolink:SmallMolecule			NEG_ISA	False
20	elii	Element, Ion, or Isotope	NEG_ISA	chvs	Chemical Viewed Structurally	biolink:SmallMolecule			NEG_ISA	False
20	bdsu	Body Substance	NEG_LOCATION_OF	horm	Hormone			biolink:SmallMolecule	NEG_LOCATION_OF	False
20	cell	Cell	NEG_LOCATION_OF	rich	unmappped	biolink:Cell			NEG_LOCATION_OF	False
20	comd	Cell or Molecular Dysfunction	NEG_MANIFESTATION_OF	dsyn	Disease or Syndrome	biolink:Disease		biolink:Disease	NEG_MANIFESTATION_OF	False
20	mobd	Mental or Behavioral Dysfunction	NEG_MANIFESTATION_OF	mobd	Mental or Behavioral Dysfunction	biolink:Disease		biolink:Disease	NEG_MANIFESTATION_OF	False
20	orga	Organism Attribute	NEG_MANIFESTATION_OF	orgf	Organism Function	biolink:OrganismAttribute		biolink:PhysiologicalProcess	NEG_MANIFESTATION_OF	False
20	sosy	Sign or Symptom	NEG_MANIFESTATION_OF	mobd	Mental or Behavioral Dysfunction	biolink:PhenotypicFeature		biolink:Disease	NEG_MANIFESTATION_OF	False
20	diap	Diagnostic Procedure	NEG_MEASURES	irda	Indicator, Reagent, or Diagnostic Aid	biolink:Procedure			NEG_MEASURES	False
20	lbpr	Laboratory Procedure	NEG_MEASURES	irda	Indicator, Reagent, or Diagnostic Aid	biolink:Procedure			NEG_MEASURES	False
20	lbpr	Laboratory Procedure	NEG_MEASURES	lbtr	Laboratory or Test Result	biolink:Procedure		biolink:Phenomenon	NEG_MEASURES	False
20	bacs	Biologically Active Substance	NEG_PART_OF	phsu	Pharmacologic Substance	biolink:SmallMolecule		biolink:Drug	NEG_PART_OF	False
20	neop	Neoplastic Process	NEG_PART_OF	anim	Animal	biolink:Disease			NEG_PART_OF	False
20	tisu	Tissue	NEG_PART_OF	grup	Group	biolink:GrossAnatomicalStructure		biolink:Agent	NEG_PART_OF	False
20	patf	Pathologic Function	NEG_PRECEDES	neop	Neoplastic Process	biolink:PathologicalProcess		biolink:Disease	NEG_PRECEDES	False
20	elii	Element, Ion, or Isotope	NEG_PREDISPOSES	inpo	Injury or Poisoning	biolink:SmallMolecule		biolink:PathologicalProcess	NEG_PREDISPOSES	False
20	chvf	Chemical Viewed Functionally	NEG_PREVENTS	acab	Acquired Abnormality			biolink:Disease	NEG_PREVENTS	False
20	chvs	Chemical Viewed Structurally	NEG_PREVENTS	patf	Pathologic Function			biolink:PathologicalProcess	NEG_PREVENTS	False
20	clnd	Clinical Drug	NEG_PREVENTS	patf	Pathologic Function	biolink:Drug		biolink:PathologicalProcess	NEG_PREVENTS	False
20	hops	Hazardous or Poisonous Substance	NEG_PREVENTS	inpo	Injury or Poisoning	biolink:SmallMolecule		biolink:PathologicalProcess	NEG_PREVENTS	False
20	moft	Molecular Function	NEG_PROCESS_OF	grup	Group	biolink:MolecularActivity		biolink:Agent	NEG_PROCESS_OF	False
20	patf	Pathologic Function	NEG_PROCESS_OF	amph	Amphibian	biolink:PathologicalProcess			NEG_PROCESS_OF	False
20	phsf	Physiologic Function	NEG_PROCESS_OF	vtbt	Vertebrate	biolink:PhysiologicalProcess			NEG_PROCESS_OF	False
20	lbpr	Laboratory Procedure	NEG_PRODUCES	lbtr	Laboratory or Test Result	biolink:Procedure		biolink:Phenomenon	NEG_PRODUCES	False
20	neop	Neoplastic Process	NEG_PRODUCES	nsba	unmappped	biolink:Disease			NEG_PRODUCES	False
20	bacs	Biologically Active Substance	NEG_STIMULATES	cell	Cell	biolink:SmallMolecule		biolink:Cell	NEG_STIMULATES	False
20	enzy	Enzyme	NEG_STIMULATES	bacs	Biologically Active Substance	biolink:Protein		biolink:SmallMolecule	NEG_STIMULATES	False
20	lipd	unmappped	NEG_STIMULATES	enzy	Enzyme			biolink:Protein	NEG_STIMULATES	False
20	nnon	Nucleic Acid, Nucleoside, or Nucleotide	NEG_STIMULATES	gngm	Gene or Genome	biolink:NucleicAcidEntity		biolink:GenomicEntity	NEG_STIMULATES	False
20	carb	unmappped	NEG_TREATS	fndg	Finding			biolink:DiseaseOrPhenotypicFeature	NEG_TREATS	False
20	hops	Hazardous or Poisonous Substance	NEG_TREATS	dsyn	Disease or Syndrome	biolink:SmallMolecule		biolink:Disease	NEG_TREATS	False
20	vita	Vitamin	NEG_TREATS	mamm	Mammal	biolink:SmallMolecule			NEG_TREATS	False
20	horm	Hormone	NEG_higher_than	horm	Hormone	biolink:SmallMolecule		biolink:SmallMolecule	NEG_higher_than	False
20	medd	Medical Device	NEG_higher_than	orch	Organic Chemical	biolink:Device		biolink:SmallMolecule	NEG_higher_than	False
20	orch	Organic Chemical	NEG_higher_than	hops	Hazardous or Poisonous Substance	biolink:SmallMolecule		biolink:SmallMolecule	NEG_higher_than	False
20	phsu	Pharmacologic Substance	NEG_same_as	topp	Therapeutic or Preventive Procedure	biolink:Drug		biolink:Procedure	NEG_same_as	False
20	elii	Element, Ion, or Isotope	PART_OF	popg	Population Group	biolink:SmallMolecule	biolink:part_of	biolink:PopulationOfIndividualOrganisms	None	True
20	elii	Element, Ion, or Isotope	PART_OF	vtbt	Vertebrate	biolink:SmallMolecule	biolink:part_of		vtbt	False
20	emst	Embryonic Structure	PART_OF	famg	Family Group	biolink:GrossAnatomicalStructure	biolink:part_of	biolink:Cohort	None	True
20	food	Food	PART_OF	mamm	Mammal	biolink:Food	biolink:part_of		mamm	False
20	gngm	Gene or Genome	PART_OF	plnt	Plant	biolink:GenomicEntity	biolink:part_of		plnt	False
20	inch	Inorganic Chemical	PART_OF	tisu	Tissue	biolink:SmallMolecule	biolink:part_of	biolink:GrossAnatomicalStructure	None	True
20	nsba	unmappped	PART_OF	virs	Virus		biolink:part_of		virs	False
20	strd	unmappped	PART_OF	aapp	Amino Acid, Peptide, or Protein		biolink:part_of	biolink:Polypeptide	strd	False
20	fndg	Finding	PRECEDES	dsyn	Disease or Syndrome	biolink:DiseaseOrPhenotypicFeature	biolink:precedes	biolink:Disease	None	False
20	nnon	Nucleic Acid, Nucleoside, or Nucleotide	PRECEDES	diap	Diagnostic Procedure	biolink:NucleicAcidEntity	biolink:precedes	biolink:Procedure	None	False
20	strd	unmappped	PREDISPOSES	comd	Cell or Molecular Dysfunction		biolink:predisposes	biolink:Disease	strd	False
20	aapp	Amino Acid, Peptide, or Protein	PRODUCES	opco	unmappped	biolink:Polypeptide	biolink:produces		opco	False
20	grup	Group	PRODUCES	rnlw	Regulation or Law	biolink:Agent	biolink:produces	biolink:InformationContentEntity	None	True
20	irda	Indicator, Reagent, or Diagnostic Aid	TREATS	humn	Human		biolink:treats		humn	False
20	nnon	Nucleic Acid, Nucleoside, or Nucleotide	TREATS	orga	Organism Attribute	biolink:NucleicAcidEntity	biolink:treats	biolink:OrganismAttribute	None	False
20	dora	Daily or Recreational Activity	USES	phsu	Pharmacologic Substance	biolink:Activity	biolink:has_input	biolink:Drug	None	False
20	hlca	Health Care Activity	USES	lbpr	Laboratory Procedure	biolink:Activity	biolink:has_input	biolink:Procedure	None	False
20	mbrt	Molecular Biology Research Technique	USES	nnon	Nucleic Acid, Nucleoside, or Nucleotide	biolink:Procedure	biolink:has_input	biolink:NucleicAcidEntity	None	False
20	aapp	Amino Acid, Peptide, or Protein	compared_with	diap	Diagnostic Procedure	biolink:Polypeptide	biolink:related_to	biolink:Procedure	None	True
20	antb	Antibiotic	compared_with	chem	Chemical	biolink:Drug	biolink:related_to	biolink:ChemicalEntity	None	True
20	bodm	Biomedical or Dental Material	compared_with	celc	Cell Component	biolink:Device	biolink:related_to	biolink:CellularComponent	None	True
20	chvf	Chemical Viewed Functionally	compared_with	strd	unmappped		biolink:related_to		strd	False
20	clnd	Clinical Drug	compared_with	chvf	Chemical Viewed Functionally	biolink:Drug	biolink:related_to		chvf	False
20	clnd	Clinical Drug	compared_with	strd	unmappped	biolink:Drug	biolink:related_to		strd	False
20	diap	Diagnostic Procedure	compared_with	gngm	Gene or Genome	biolink:Procedure	biolink:related_to	biolink:GenomicEntity	None	True
20	dora	Daily or Recreational Activity	compared_with	inch	Inorganic Chemical	biolink:Activity	biolink:related_to	biolink:SmallMolecule	None	True
20	elii	Element, Ion, or Isotope	compared_with	nsba	unmappped	biolink:SmallMolecule	biolink:related_to		nsba	False
20	enzy	Enzyme	compared_with	lipd	unmappped	biolink:Protein	biolink:related_to		lipd	False
20	food	Food	compared_with	inch	Inorganic Chemical	biolink:Food	biolink:related_to	biolink:SmallMolecule	None	True
20	gngm	Gene or Genome	compared_with	qnco	Quantitative Concept	biolink:GenomicEntity	biolink:related_to	biolink:InformationContentEntity	None	True
20	horm	Hormone	compared_with	bodm	Biomedical or Dental Material	biolink:SmallMolecule	biolink:related_to	biolink:Device	None	True
20	horm	Hormone	compared_with	eico	unmappped	biolink:SmallMolecule	biolink:related_to		eico	False
20	inpr	Intellectual Product	compared_with	inpr	Intellectual Product	biolink:Publication	biolink:related_to	biolink:Publication	None	True
20	nsba	unmappped	compared_with	elii	Element, Ion, or Isotope		biolink:related_to	biolink:SmallMolecule	nsba	False
20	nsba	unmappped	compared_with	lipd	unmappped		biolink:related_to		lipd	False
20	opco	unmappped	compared_with	elii	Element, Ion, or Isotope		biolink:related_to	biolink:SmallMolecule	opco	False
20	orch	Organic Chemical	compared_with	qnco	Quantitative Concept	biolink:SmallMolecule	biolink:related_to	biolink:InformationContentEntity	None	True
20	chem	Chemical	higher_than	chvs	Chemical Viewed Structurally	biolink:ChemicalEntity	biolink:related_to		chvs	False
20	clnd	Clinical Drug	higher_than	carb	unmappped	biolink:Drug	biolink:related_to		carb	False
20	elii	Element, Ion, or Isotope	higher_than	carb	unmappped	biolink:SmallMolecule	biolink:related_to		carb	False
20	elii	Element, Ion, or Isotope	higher_than	chem	Chemical	biolink:SmallMolecule	biolink:related_to	biolink:ChemicalEntity	None	True
20	gngm	Gene or Genome	higher_than	nsba	unmappped	biolink:GenomicEntity	biolink:related_to		nsba	False
20	hops	Hazardous or Poisonous Substance	higher_than	horm	Hormone	biolink:SmallMolecule	biolink:related_to	biolink:SmallMolecule	None	True
20	irda	Indicator, Reagent, or Diagnostic Aid	higher_than	nsba	unmappped		biolink:related_to		nsba	False
20	orch	Organic Chemical	higher_than	celc	Cell Component	biolink:SmallMolecule	biolink:related_to	biolink:CellularComponent	None	True
20	chvf	Chemical Viewed Functionally	lower_than	inch	Inorganic Chemical		biolink:related_to	biolink:SmallMolecule	chvf	False
20	imft	Immunologic Factor	lower_than	topp	Therapeutic or Preventive Procedure	biolink:BiologicalEntity	biolink:related_to	biolink:Procedure	None	True
20	inch	Inorganic Chemical	lower_than	bodm	Biomedical or Dental Material	biolink:SmallMolecule	biolink:related_to	biolink:Device	None	True
20	lipd	unmappped	lower_than	topp	Therapeutic or Preventive Procedure		biolink:related_to	biolink:Procedure	lipd	False
20	topp	Therapeutic or Preventive Procedure	lower_than	imft	Immunologic Factor	biolink:Procedure	biolink:related_to	biolink:BiologicalEntity	None	True
20	aapp	Amino Acid, Peptide, or Protein	same_as	opco	unmappped	biolink:Polypeptide	biolink:close_match		opco	False
20	antb	Antibiotic	same_as	phsu	Pharmacologic Substance	biolink:Drug	biolink:close_match	biolink:Drug	None	True
20	bacs	Biologically Active Substance	same_as	eico	unmappped	biolink:SmallMolecule	biolink:close_match		eico	False
20	eico	unmappped	same_as	orch	Organic Chemical		biolink:close_match	biolink:SmallMolecule	eico	False
20	nsba	unmappped	same_as	orch	Organic Chemical		biolink:close_match	biolink:SmallMolecule	nsba	False
19	horm	Hormone	ADMINISTERED_TO	cell	Cell	biolink:SmallMolecule	biolink:affects	biolink:Cell	None	True
19	horm	Hormone	ADMINISTERED_TO	prog	Professional or Occupational Group	biolink:SmallMolecule	biolink:affects	biolink:Cohort	None	True
19	phsu	Pharmacologic Substance	ADMINISTERED_TO	famg	Family Group	biolink:Drug	biolink:affects	biolink:Cohort	None	True
19	anab	Anatomical Abnormality	AFFECTS	popg	Population Group	biolink:Disease	biolink:affects	biolink:PopulationOfIndividualOrganisms	None	True
19	bacs	Biologically Active Substance	AFFECTS	ffas	Fully Formed Anatomical Structure	biolink:SmallMolecule	biolink:affects		ffas	False
19	biof	Biologic Function	AFFECTS	rept	Reptile	biolink:Phenomenon	biolink:affects		rept	False
19	dsyn	Disease or Syndrome	AFFECTS	plnt	Plant	biolink:Disease	biolink:affects		plnt	False
19	enzy	Enzyme	AFFECTS	clna	Clinical Attribute	biolink:Protein	biolink:affects	biolink:ClinicalAttribute	None	True
19	enzy	Enzyme	AFFECTS	emst	Embryonic Structure	biolink:Protein	biolink:affects	biolink:GrossAnatomicalStructure	None	True
19	genf	Genetic Function	AFFECTS	rept	Reptile		biolink:affects		rept	False
19	lbpr	Laboratory Procedure	AFFECTS	npop	Natural Phenomenon or Process	biolink:Procedure	biolink:affects	biolink:Phenomenon	None	True
19	moft	Molecular Function	AFFECTS	horm	Hormone	biolink:MolecularActivity	biolink:affects	biolink:SmallMolecule	None	True
19	nnon	Nucleic Acid, Nucleoside, or Nucleotide	AFFECTS	anst	Anatomical Structure	biolink:NucleicAcidEntity	biolink:affects	biolink:AnatomicalEntity	None	True
19	orgf	Organism Function	AFFECTS	rich	unmappped	biolink:PhysiologicalProcess	biolink:affects		rich	False
19	patf	Pathologic Function	AFFECTS	sosy	Sign or Symptom	biolink:PathologicalProcess	biolink:affects	biolink:PhenotypicFeature	None	True
19	irda	Indicator, Reagent, or Diagnostic Aid	ASSOCIATED_WITH	dsyn	Disease or Syndrome		biolink:related_to	biolink:Disease	irda	False
19	chvf	Chemical Viewed Functionally	CAUSES	celf	Cell Function		biolink:causes	biolink:PhysiologicalProcess	chvf	False
19	fngs	Fungus	CAUSES	acab	Acquired Abnormality		biolink:causes	biolink:Disease	fngs	False
19	inpo	Injury or Poisoning	CAUSES	neop	Neoplastic Process	biolink:PathologicalProcess	biolink:causes	biolink:Disease	None	True
19	invt	unmappped	CAUSES	emod	Experimental Model of Disease		biolink:causes	biolink:BiologicalEntity	invt	False
19	phsu	Pharmacologic Substance	CAUSES	biof	Biologic Function	biolink:Drug	biolink:causes	biolink:Phenomenon	None	True
19	rcpt	Receptor	CAUSES	neop	Neoplastic Process	biolink:Protein	biolink:causes	biolink:Disease	None	True
19	aapp	Amino Acid, Peptide, or Protein	COEXISTS_WITH	food	Food	biolink:Polypeptide	biolink:coexists_with	biolink:Food	None	True
19	hlca	Health Care Activity	COEXISTS_WITH	phsu	Pharmacologic Substance	biolink:Activity	biolink:coexists_with	biolink:Drug	None	True
19	irda	Indicator, Reagent, or Diagnostic Aid	COEXISTS_WITH	carb	unmappped		biolink:coexists_with		carb	False
19	nsba	unmappped	COEXISTS_WITH	enzy	Enzyme		biolink:coexists_with	biolink:Protein	nsba	False
19	nusq	Nucleotide Sequence	COEXISTS_WITH	strd	unmappped	biolink:NucleicAcidEntity	biolink:coexists_with		strd	False
19	antb	Antibiotic	COMPLICATES	patf	Pathologic Function	biolink:Drug	biolink:exacerbates	biolink:PathologicalProcess	None	False
19	gngm	Gene or Genome	COMPLICATES	patf	Pathologic Function	biolink:GenomicEntity	biolink:exacerbates	biolink:PathologicalProcess	None	False
19	carb	unmappped	CONVERTS_TO	hops	Hazardous or Poisonous Substance		biolink:derives_into	biolink:SmallMolecule	carb	False
19	phsu	Pharmacologic Substance	CONVERTS_TO	lipd	unmappped	biolink:Drug	biolink:derives_into		lipd	False
19	inpr	Intellectual Product	DIAGNOSES	fndg	Finding	biolink:Publication	biolink:diagnoses	biolink:DiseaseOrPhenotypicFeature	None	False
19	elii	Element, Ion, or Isotope	DISRUPTS	emst	Embryonic Structure	biolink:SmallMolecule	biolink:disrupts	biolink:GrossAnatomicalStructure	None	True
19	elii	Element, Ion, or Isotope	DISRUPTS	genf	Genetic Function	biolink:SmallMolecule	biolink:disrupts		genf	False
19	elii	Element, Ion, or Isotope	DISRUPTS	ortf	Organ or Tissue Function	biolink:SmallMolecule	biolink:disrupts	biolink:PhysiologicalProcess	None	True
19	horm	Hormone	DISRUPTS	menp	Mental Process	biolink:SmallMolecule	biolink:disrupts	biolink:Behavior	None	True
19	irda	Indicator, Reagent, or Diagnostic Aid	DISRUPTS	phsf	Physiologic Function		biolink:disrupts	biolink:PhysiologicalProcess	irda	False
19	nsba	unmappped	DISRUPTS	anab	Anatomical Abnormality		biolink:disrupts	biolink:Disease	nsba	False
19	carb	unmappped	INHIBITS	rcpt	Receptor			biolink:Protein	INHIBITS	False
19	eico	unmappped	INHIBITS	hops	Hazardous or Poisonous Substance			biolink:SmallMolecule	INHIBITS	False
19	elii	Element, Ion, or Isotope	INHIBITS	rcpt	Receptor	biolink:SmallMolecule		biolink:Protein	INHIBITS	False
19	hops	Hazardous or Poisonous Substance	INHIBITS	irda	Indicator, Reagent, or Diagnostic Aid	biolink:SmallMolecule			INHIBITS	False
19	nusq	Nucleotide Sequence	INHIBITS	hops	Hazardous or Poisonous Substance	biolink:NucleicAcidEntity		biolink:SmallMolecule	INHIBITS	False
19	nusq	Nucleotide Sequence	INHIBITS	imft	Immunologic Factor	biolink:NucleicAcidEntity		biolink:BiologicalEntity	INHIBITS	False
19	opco	unmappped	INHIBITS	elii	Element, Ion, or Isotope			biolink:SmallMolecule	INHIBITS	False
19	phsu	Pharmacologic Substance	INHIBITS	neop	Neoplastic Process	biolink:Drug		biolink:Disease	INHIBITS	False
19	food	Food	INTERACTS_WITH	lipd	unmappped	biolink:Food	biolink:interacts_with		lipd	False
19	rept	Reptile	INTERACTS_WITH	virs	Virus		biolink:interacts_with		virs	False
19	antb	Antibiotic	ISA	nnon	Nucleic Acid, Nucleoside, or Nucleotide	biolink:Drug	biolink:subclass_of	biolink:NucleicAcidEntity	None	True
19	bacs	Biologically Active Substance	ISA	food	Food	biolink:SmallMolecule	biolink:subclass_of	biolink:Food	None	False
19	chvs	Chemical Viewed Structurally	ISA	medd	Medical Device		biolink:subclass_of	biolink:Device	chvs	False
19	neop	Neoplastic Process	ISA	mobd	Mental or Behavioral Dysfunction	biolink:Disease	biolink:subclass_of	biolink:Disease	None	False
19	socb	Social Behavior	ISA	ocac	Occupational Activity	biolink:Behavior	biolink:subclass_of	biolink:Activity	None	False
19	blor	Body Location or Region	LOCATION_OF	mobd	Mental or Behavioral Dysfunction		biolink:location_of	biolink:Disease	blor	False
19	celc	Cell Component	LOCATION_OF	rcpt	Receptor	biolink:CellularComponent	biolink:location_of	biolink:Protein	None	True
19	cell	Cell	LOCATION_OF	comd	Cell or Molecular Dysfunction	biolink:Cell	biolink:location_of	biolink:Disease	None	True
19	cell	Cell	LOCATION_OF	mbrt	Molecular Biology Research Technique	biolink:Cell	biolink:location_of	biolink:Procedure	None	True
19	gngm	Gene or Genome	LOCATION_OF	comd	Cell or Molecular Dysfunction	biolink:GenomicEntity	biolink:location_of	biolink:Disease	None	True
19	imft	Immunologic Factor	LOCATION_OF	genf	Genetic Function	biolink:BiologicalEntity	biolink:location_of		genf	False
19	anab	Anatomical Abnormality	MANIFESTATION_OF	phsf	Physiologic Function	biolink:Disease	biolink:manifestation_of	biolink:PhysiologicalProcess	None	False
19	emod	Experimental Model of Disease	MANIFESTATION_OF	comd	Cell or Molecular Dysfunction	biolink:BiologicalEntity	biolink:manifestation_of	biolink:Disease	None	True
19	diap	Diagnostic Procedure	METHOD_OF	lbpr	Laboratory Procedure	biolink:Procedure		biolink:Procedure	METHOD_OF	False
19	lbpr	Laboratory Procedure	METHOD_OF	carb	unmappped	biolink:Procedure			METHOD_OF	False
19	lbpr	Laboratory Procedure	METHOD_OF	lipd	unmappped	biolink:Procedure			METHOD_OF	False
19	aapp	Amino Acid, Peptide, or Protein	NEG_AFFECTS	ffas	Fully Formed Anatomical Structure	biolink:Polypeptide			NEG_AFFECTS	False
19	comd	Cell or Molecular Dysfunction	NEG_AFFECTS	fish	Fish	biolink:Disease			NEG_AFFECTS	False
19	hops	Hazardous or Poisonous Substance	NEG_AFFECTS	acab	Acquired Abnormality	biolink:SmallMolecule		biolink:Disease	NEG_AFFECTS	False
19	horm	Hormone	NEG_AFFECTS	cgab	Congenital Abnormality	biolink:SmallMolecule		biolink:Disease	NEG_AFFECTS	False
19	mobd	Mental or Behavioral Dysfunction	NEG_AFFECTS	virs	Virus	biolink:Disease			NEG_AFFECTS	False
19	nusq	Nucleotide Sequence	NEG_AFFECTS	cell	Cell	biolink:NucleicAcidEntity		biolink:Cell	NEG_AFFECTS	False
19	ortf	Organ or Tissue Function	NEG_AFFECTS	bact	Bacterium	biolink:PhysiologicalProcess			NEG_AFFECTS	False
19	rnlw	Regulation or Law	NEG_AFFECTS	orgt	Organization	biolink:InformationContentEntity		biolink:Agent	NEG_AFFECTS	False
19	horm	Hormone	NEG_AUGMENTS	npop	Natural Phenomenon or Process	biolink:SmallMolecule		biolink:Phenomenon	NEG_AUGMENTS	False
19	inch	Inorganic Chemical	NEG_AUGMENTS	tisu	Tissue	biolink:SmallMolecule		biolink:GrossAnatomicalStructure	NEG_AUGMENTS	False
19	nusq	Nucleotide Sequence	NEG_AUGMENTS	genf	Genetic Function	biolink:NucleicAcidEntity			NEG_AUGMENTS	False
19	carb	unmappped	NEG_CAUSES	neop	Neoplastic Process			biolink:Disease	NEG_CAUSES	False
19	irda	Indicator, Reagent, or Diagnostic Aid	NEG_CAUSES	neop	Neoplastic Process			biolink:Disease	NEG_CAUSES	False
19	opco	unmappped	NEG_CAUSES	fndg	Finding			biolink:DiseaseOrPhenotypicFeature	NEG_CAUSES	False
19	gngm	Gene or Genome	NEG_COEXISTS_WITH	nsba	unmappped	biolink:GenomicEntity			NEG_COEXISTS_WITH	False
19	orch	Organic Chemical	NEG_COEXISTS_WITH	rcpt	Receptor	biolink:SmallMolecule		biolink:Protein	NEG_COEXISTS_WITH	False
19	neop	Neoplastic Process	NEG_COMPLICATES	dsyn	Disease or Syndrome	biolink:Disease		biolink:Disease	NEG_COMPLICATES	False
19	phsu	Pharmacologic Substance	NEG_DISRUPTS	acab	Acquired Abnormality	biolink:Drug		biolink:Disease	NEG_DISRUPTS	False
19	carb	unmappped	NEG_INHIBITS	hops	Hazardous or Poisonous Substance			biolink:SmallMolecule	NEG_INHIBITS	False
19	chem	Chemical	NEG_INTERACTS_WITH	phsu	Pharmacologic Substance	biolink:ChemicalEntity		biolink:Drug	NEG_INTERACTS_WITH	False
19	chvs	Chemical Viewed Structurally	NEG_INTERACTS_WITH	antb	Antibiotic			biolink:Drug	NEG_INTERACTS_WITH	False
19	acab	Acquired Abnormality	NEG_ISA	sosy	Sign or Symptom	biolink:Disease		biolink:PhenotypicFeature	NEG_ISA	False
19	elii	Element, Ion, or Isotope	NEG_ISA	phsu	Pharmacologic Substance	biolink:SmallMolecule		biolink:Drug	NEG_ISA	False
19	orch	Organic Chemical	NEG_ISA	carb	unmappped	biolink:SmallMolecule			NEG_ISA	False
19	sosy	Sign or Symptom	NEG_ISA	patf	Pathologic Function	biolink:PhenotypicFeature		biolink:PathologicalProcess	NEG_ISA	False
19	anst	Anatomical Structure	NEG_LOCATION_OF	orch	Organic Chemical	biolink:AnatomicalEntity		biolink:SmallMolecule	NEG_LOCATION_OF	False
19	celc	Cell Component	NEG_LOCATION_OF	eico	unmappped	biolink:CellularComponent			NEG_LOCATION_OF	False
19	celc	Cell Component	NEG_LOCATION_OF	phsu	Pharmacologic Substance	biolink:CellularComponent		biolink:Drug	NEG_LOCATION_OF	False
19	celc	Cell Component	NEG_LOCATION_OF	rich	unmappped	biolink:CellularComponent			NEG_LOCATION_OF	False
19	ffas	Fully Formed Anatomical Structure	NEG_LOCATION_OF	bact	Bacterium				NEG_LOCATION_OF	False
